id,name,image_url,anime,personality,description,age
1,Asta,https://i.pinimg.com/originals/c8/c2/61/c8c2615d5b2db78536fd8be29541926e.jpg,2,1,"The determined, loud-mouthed, and magic-less underdog protagonist of Black Clover who strives to become the Wizard King.",15
2,Yuno,https://i.pinimg.com/originals/76/47/7e/76477e6e270ec804a652138fea0021fe.jpg,2,2,"A calm and exceptionally talented mage who serves as Asta's rival and shares his dream of becoming the Wizard King.",15
3,Eren Yeager,https://i.pinimg.com/originals/76/24/fc/7624fc35c250e87d12ffbd2e5cec64dc.jpg,1,3,"A passionate and impulsive protagonist driven by a fierce desire for freedom and the protection of those he cares about.",15
4,Armin Arlert,https://i.pinimg.com/originals/12/31/84/12318446302d8fa79aa635d422b16dee.jpg,1,4,"An intellectually brilliant, empathetic strategist who grows from a timid boy into one of humanity's most vital leaders.",15
5,Mikasa Ackerman,https://i.pinimg.com/originals/ca/a7/e0/caa7e0b255bbfd654b5dad52671d71dc.jpg,1,5,"A fiercely loyal and exceptionally skilled soldier who dedicates herself to protecting the people she loves.",15
6,Levi Ackerman,https://i.pinimg.com/originals/6d/bf/ad/6dbfad94de980fa3f9d96c41723a5f21.webp,1,6,"A calm, blunt, and highly disciplined captain known for his unmatched combat skill and unwavering composure.",30
7,Jean Kirstein,https://i.pinimg.com/originals/42/1d/0c/421d0c430deeb9a5ae95010c093ecfcd.jpg,1,7,"A practical and realistic soldier whose frustration masks a strong sense of responsibility and dependable leadership.",15
8,Hinata Shoyo,https://i.pinimg.com/originals/ff/87/ba/ff87ba10ec5697671531774648cf7bae.jpg,4,1,"A hyperactive and passionate volleyball player whose boundless optimism fuels his determination to improve.",16
9,Kageyama Tobio,https://i.pinimg.com/originals/e4/d6/6d/e4d66d18c495f2d3653e4fb778472ced.jpg,4,7,"An intense and perfectionist setter whose strict demeanor hides a deep dedication to teamwork and growth.",16
10,Ciel Phantomhive,https://i.pinimg.com/originals/92/ee/1b/92ee1b0657e4aaede107af246f6e3e51.jpg,3,8,"A calculating and secretive young noble who masks his vulnerability behind sharp intellect and emotional restraint.",13
11,Sebastian Michaelis,https://i.pinimg.com/originals/4a/f3/46/4af3468f905ad32ec4ac6919199b46cc.jpg,3,9,"A flawlessly composed and graceful butler whose refined demeanor conceals his supernatural power and cunning.",999
12,David Martinez,https://i.pinimg.com/originals/4d/2f/e3/4d2fe375ff2b6aa6db45b80de374d941.jpg,5,10,"A determined and courageous young man who pushes himself beyond his limits to protect the people he cares about.",17
13,Lucy,https://i.pinimg.com/originals/1f/cf/b4/1fcfb449478b70bc690ca13ade448998.jpg,5,8,"A quiet and enigmatic netrunner whose guarded nature hides deep emotion and a longing for freedom.",17
14,Legoshi,https://i.pinimg.com/originals/82/d2/20/82d220c210d00e101a50d888fba73aa9.webp,6,11,"A gentle and introspective wolf who struggles with anxiety, self-control, and understanding his own emotions.",17
15,Louis,https://i.pinimg.com/originals/6a/0a/fc/6a0afc6583dbcd0d62386a1d0fe8f307.jpg,6,12,"A confident and ambitious deer who carries himself with authority while concealing deep personal burdens.",18
